epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6375,1.12153,4.06264,1.32232,0.14122,0.49344,0.17188,0.1318,0.87887,2.67663,1.17619,0.000132754,0.000132754,0.000132754
2,51.2062,1.05204,3.15535,1.26262,0.32724,0.5267,0.42282,0.32363,0.87293,1.98725,1.17916,0.000257306,0.000257306,0.000257306
3,77.3827,1.01079,2.61741,1.23022,0.44834,0.63325,0.60395,0.46915,0.83822,1.61761,1.15866,0.000373059,0.000373059,0.000373059
4,103.028,0.97614,2.37233,1.21026,0.58667,0.62559,0.64659,0.50385,0.83938,1.52424,1.13812,0.0003604,0.0003604,0.0003604
5,134.025,0.96619,2.15159,1.18206,0.65614,0.68367,0.69801,0.53696,0.83149,1.43191,1.13492,0.0003472,0.0003472,0.0003472
6,164.241,0.94457,2.01193,1.18107,0.67659,0.67224,0.7165,0.56648,0.80304,1.32497,1.12234,0.000334,0.000334,0.000334
7,192.651,0.9225,1.89375,1.16688,0.6886,0.77663,0.76235,0.60861,0.81133,1.33583,1.12859,0.0003208,0.0003208,0.0003208
8,219.695,0.9134,1.75927,1.15077,0.75738,0.74478,0.79838,0.63601,0.76032,1.14314,1.0779,0.0003076,0.0003076,0.0003076
9,245.905,0.90999,1.68895,1.1508,0.795,0.80837,0.83461,0.67805,0.75561,1.1066,1.0857,0.0002944,0.0002944,0.0002944
10,273.04,0.86511,1.56311,1.12228,0.81678,0.80756,0.85399,0.68029,0.78643,1.07902,1.10524,0.0002812,0.0002812,0.0002812
11,300.572,0.88816,1.50843,1.13612,0.84593,0.84729,0.88709,0.72231,0.72544,0.93583,1.07721,0.000268,0.000268,0.000268
12,329.327,0.85139,1.45229,1.13811,0.87106,0.86452,0.90354,0.73415,0.75131,0.8976,1.09008,0.0002548,0.0002548,0.0002548
13,359.123,0.86354,1.42127,1.13069,0.87568,0.87566,0.92503,0.75807,0.73687,0.79442,1.07993,0.0002416,0.0002416,0.0002416
14,387.065,0.84487,1.33264,1.10133,0.90249,0.87359,0.92327,0.75763,0.72151,0.79141,1.0625,0.0002284,0.0002284,0.0002284
15,414.005,0.8094,1.25596,1.10519,0.8836,0.88161,0.92618,0.75795,0.71686,0.77843,1.06821,0.0002152,0.0002152,0.0002152
16,440.529,0.81262,1.21031,1.08648,0.9134,0.8804,0.94233,0.76693,0.73234,0.73263,1.07245,0.000202,0.000202,0.000202
17,468.142,0.82668,1.21224,1.09786,0.88214,0.90976,0.93916,0.77853,0.69013,0.73366,1.04515,0.0001888,0.0001888,0.0001888
18,496.701,0.80317,1.15675,1.07681,0.91871,0.88386,0.93581,0.77263,0.70062,0.72357,1.04583,0.0001756,0.0001756,0.0001756
19,526.931,0.79091,1.1493,1.07685,0.88664,0.91534,0.94214,0.7851,0.68192,0.67616,1.03151,0.0001624,0.0001624,0.0001624
20,555.388,0.77744,1.10639,1.06936,0.9111,0.8957,0.94716,0.78348,0.69537,0.68003,1.04087,0.0001492,0.0001492,0.0001492
21,587.624,0.77532,1.09555,1.0716,0.92442,0.8939,0.94529,0.7874,0.68422,0.64614,1.02592,0.000136,0.000136,0.000136
22,617.838,0.76348,1.03139,1.06063,0.92409,0.90906,0.94962,0.79211,0.67861,0.61745,1.02221,0.0001228,0.0001228,0.0001228
23,644.295,0.78369,1.03663,1.07072,0.92333,0.9089,0.9487,0.78728,0.68573,0.62045,1.02519,0.0001096,0.0001096,0.0001096
24,670.674,0.75219,1.01611,1.04745,0.93815,0.90734,0.94732,0.78467,0.68176,0.62847,1.02513,9.64e-05,9.64e-05,9.64e-05
25,697.791,0.74447,0.97978,1.04702,0.92738,0.91543,0.94819,0.78896,0.68935,0.59968,1.028,8.32e-05,8.32e-05,8.32e-05
26,731.143,0.74963,0.99812,1.05484,0.94739,0.91936,0.95684,0.80104,0.6704,0.57493,1.02223,7e-05,7e-05,7e-05
27,763.512,0.72827,0.95795,1.0412,0.94745,0.90873,0.94746,0.79208,0.67671,0.59504,1.02499,5.68e-05,5.68e-05,5.68e-05
28,792.951,0.72675,0.96544,1.0378,0.9362,0.92002,0.95221,0.79588,0.68312,0.58059,1.02599,4.36e-05,4.36e-05,4.36e-05
29,823.982,0.73062,0.93952,1.04039,0.95596,0.91003,0.94922,0.79448,0.6733,0.58167,1.02313,3.04e-05,3.04e-05,3.04e-05
30,854.701,0.72611,0.94738,1.03925,0.94572,0.91779,0.95277,0.79876,0.66675,0.56681,1.02024,1.72e-05,1.72e-05,1.72e-05
